STOP_ID,STOP_NAME,STATION_NAME,Location X,Location Y
30073,Washington (Forest Pk-bound),Washington,41.883164,-87.62944
30072,Washington (O'Hare-bound),Washington,41.883164,-87.62944
30384,Washington/Wabash (Inner Loop),Washington/Wabash,41.88322,-87.626189
30383,Washington/Wabash (Outer Loop),Washington/Wabash,41.88322,-87.626189
30141,Washington/Wells (Inner Loop),Washington/Wells,41.882695,-87.63378
30142,Washington/Wells (Outer Loop),Washington/Wells,41.882695,-87.63378
30231,Wellington (Kimball-Linden-bound),Wellington,41.936033,-87.653266
30232,Wellington (Loop-bound),Wellington,41.936033,-87.653266
30060,Western (Loop-bound),Western,41.804546,-87.684019
30061,Western (Midway-bound),Western,41.804546,-87.684019
30144,Western (54th/Cermak-bound),Western,41.854225,-87.685129
30143,Western (Loop-bound),Western,41.854225,-87.685129
30283,Western (Kimball-bound),Western,41.966163,-87.688502
30284,Western (Loop-bound),Western,41.966163,-87.688502
30130,Western (O'Hare Branch) (Forest Pk-bound),Western,41.916157,-87.687364
30042,Western (Forest Pk Branch) (O'Hare-bound),Western,41.875478,-87.688436
30043,Western (Forest Pk Branch) (Forest Pk-bound),Western,41.875478,-87.688436
30129,Western (O'Hare Branch) (O'Hare-bound),Western,41.916157,-87.687364
30386,Wilson (Linden-bound),Wilson,41.964273,-87.657588
30105,Wilson (Howard-bound),Wilson,41.964273,-87.657588
30106,Wilson (95th-bound),Wilson,41.964273,-87.657588
30385,Wilson (Loop-bound),Wilson,41.964273,-87.657588
